case,input,repeat,race_reported,wall_seconds,exit_code
01-put-origin,0,1,0,3.66,0
01-put-origin,0,2,0,3.57,0
01-put-origin,0,3,0,3.32,0
01-put-origin,0,4,0,2.86,0
01-put-origin,0,5,0,2.36,0
01-put-origin,1,1,1,3.32,3
01-put-origin,1,2,1,3.65,3
01-put-origin,1,3,1,2.70,3
01-put-origin,1,4,1,2.58,3
01-put-origin,1,5,1,2.85,3
02-get-result,0,1,0,3.20,0
02-get-result,0,2,0,2.23,0
02-get-result,0,3,0,2.83,0
02-get-result,0,4,0,2.97,0
02-get-result,0,5,0,2.71,0
02-get-result,1,1,1,2.60,3
02-get-result,1,2,1,3.39,3
02-get-result,1,3,1,3.11,3
02-get-result,1,4,1,2.99,3
02-get-result,1,5,1,3.30,3
03-put-put,0,1,0,2.79,0
03-put-put,0,2,0,2.46,0
03-put-put,0,3,0,3.41,0
03-put-put,0,4,0,2.82,0
03-put-put,0,5,0,2.28,0
03-put-put,1,1,1,3.40,3
03-put-put,1,2,1,3.57,3
03-put-put,1,3,1,4.20,3
03-put-put,1,4,1,3.73,3
03-put-put,1,5,1,3.17,3
04-put-get,0,1,0,2.98,0
04-put-get,0,2,0,2.88,0
04-put-get,0,3,0,2.37,0
04-put-get,0,4,0,2.29,0
04-put-get,0,5,0,1.96,0
04-put-get,1,1,1,3.05,3
04-put-get,1,2,1,3.22,3
04-put-get,1,3,1,3.48,3
04-put-get,1,4,1,3.36,3
04-put-get,1,5,1,3.64,3
05-put-target-store,0,1,0,2.80,0
05-put-target-store,0,2,0,2.85,0
05-put-target-store,0,3,0,3.11,0
05-put-target-store,0,4,0,2.59,0
05-put-target-store,0,5,0,2.69,0
05-put-target-store,1,1,1,3.74,3
05-put-target-store,1,2,1,3.27,3
05-put-target-store,1,3,1,3.15,3
05-put-target-store,1,4,1,2.64,3
05-put-target-store,1,5,1,3.64,3
