case,repeat,wall_seconds,exit_code,conflict_type
01-put-origin,1,6.67,0,LOCAL_STORE---PUT
01-put-origin,2,6.28,0,LOCAL_STORE---PUT
01-put-origin,3,6.21,0,LOCAL_STORE---PUT
01-put-origin,4,6.56,0,LOCAL_STORE---PUT
01-put-origin,5,6.22,0,LOCAL_STORE---PUT
02-get-result,1,6.11,0,LOCAL_STORE---GET
02-get-result,2,6.60,0,LOCAL_STORE---GET
02-get-result,3,6.78,0,LOCAL_STORE---GET
02-get-result,4,5.70,0,LOCAL_STORE---GET
02-get-result,5,7.75,0,LOCAL_STORE---GET
03-put-put,1,7.15,0,PUT---PUT
03-put-put,2,6.23,0,PUT---PUT
03-put-put,3,6.17,0,PUT---PUT
03-put-put,4,7.07,0,PUT---PUT
03-put-put,5,5.39,0,PUT---PUT
04-put-get,1,6.57,0,PUT---GET
04-put-get,2,6.51,0,PUT---GET
04-put-get,3,7.24,0,PUT---GET
04-put-get,4,6.26,0,PUT---GET
04-put-get,5,6.39,0,PUT---GET
05-put-target-store,1,6.35,0,PUT---RMA_STORE
05-put-target-store,2,6.59,0,PUT---RMA_STORE
05-put-target-store,3,6.99,0,PUT---RMA_STORE
05-put-target-store,4,7.12,0,PUT---RMA_STORE
05-put-target-store,5,6.54,0,PUT---RMA_STORE
