case,trial,first_value,race_reported,wall_seconds,exit_code
01-put-origin,1,0,0,19.24,0
01-put-origin,2,1,1,3.46,3
01-put-origin,3,0,0,2.33,0
01-put-origin,4,0,0,3.19,0
01-put-origin,5,0,0,3.00,0
01-put-origin,6,0,0,2.44,0
01-put-origin,7,1,1,2.86,3
01-put-origin,8,0,0,2.90,0
01-put-origin,9,0,0,2.38,0
01-put-origin,10,0,0,2.55,0
02-get-result,1,0,0,3.65,0
02-get-result,2,1,1,3.62,3
02-get-result,3,0,0,3.16,0
02-get-result,4,0,0,2.33,0
02-get-result,5,1,1,3.87,3
02-get-result,6,0,0,2.84,0
02-get-result,7,1,1,3.06,3
02-get-result,8,1,1,3.44,3
02-get-result,9,0,0,2.58,0
02-get-result,10,1,1,3.59,3
03-put-put,1,0,0,3.32,0
03-put-put,2,0,0,2.78,0
03-put-put,3,0,0,3.11,0
03-put-put,4,1,1,3.79,3
03-put-put,5,1,1,3.62,3
03-put-put,6,0,0,3.15,0
03-put-put,7,1,1,3.08,3
03-put-put,8,1,1,2.83,3
03-put-put,9,0,0,2.98,0
03-put-put,10,1,1,2.64,3
04-put-get,1,0,0,2.91,0
04-put-get,2,0,0,3.19,0
04-put-get,3,1,1,3.89,3
04-put-get,4,1,1,3.27,3
04-put-get,5,1,1,3.98,3
04-put-get,6,0,0,3.27,0
04-put-get,7,0,0,3.33,0
04-put-get,8,0,0,2.44,0
04-put-get,9,0,0,3.13,0
04-put-get,10,0,0,3.70,0
05-put-target-store,1,0,0,3.05,0
05-put-target-store,2,0,0,3.44,0
05-put-target-store,3,0,0,2.71,0
05-put-target-store,4,1,1,3.72,3
05-put-target-store,5,0,0,2.66,0
05-put-target-store,6,0,0,2.46,0
05-put-target-store,7,1,1,3.42,3
05-put-target-store,8,0,0,3.20,0
05-put-target-store,9,0,0,2.97,0
05-put-target-store,10,0,0,2.45,0
