case,repeat,wall_seconds,exit_code,conflict_type
01-put-origin,1,7.08,0,LOCAL_STORE---PUT
01-put-origin,2,7.77,0,LOCAL_STORE---PUT
01-put-origin,3,7.68,0,LOCAL_STORE---PUT
01-put-origin,4,7.04,0,LOCAL_STORE---PUT
01-put-origin,5,6.72,0,LOCAL_STORE---PUT
02-get-result,1,6.88,0,LOCAL_STORE---GET
02-get-result,2,7.48,0,LOCAL_STORE---GET
02-get-result,3,6.79,0,LOCAL_STORE---GET
02-get-result,4,6.72,0,LOCAL_STORE---GET
02-get-result,5,7.12,0,LOCAL_STORE---GET
03-put-put,1,7.90,0,PUT---PUT
03-put-put,2,6.55,0,PUT---PUT
03-put-put,3,6.76,0,PUT---PUT
03-put-put,4,6.85,0,PUT---PUT
03-put-put,5,7.16,0,PUT---PUT
04-put-get,1,7.60,0,GET---PUT
04-put-get,2,7.59,0,GET---PUT
04-put-get,3,8.08,0,GET---PUT
04-put-get,4,7.06,0,GET---PUT
04-put-get,5,7.61,0,GET---PUT
05-put-target-store,1,5.29,0,RMA_STORE---PUT
05-put-target-store,2,7.19,0,RMA_STORE---PUT
05-put-target-store,3,7.24,0,RMA_STORE---PUT
05-put-target-store,4,8.17,0,RMA_STORE---PUT
05-put-target-store,5,6.60,0,RMA_STORE---PUT
