case,discipline,expected,RMASV,MUST-RMA,RMASanitizer,RMASV_total_wall_seconds,RMASV_concurrency_type
001-MPI-conflict-put-load-local-no.c,conflict,safe,TN,TN,TN,5.760,
002-MPI-conflict-put-store-local-yes.c,conflict,race,TP,TP,TP,5.290,LOCAL_STORE---PUT
003-MPI-conflict-put-put-local-no.c,conflict,safe,TN,TN,TN,5.530,
004-MPI-conflict-get-load-local-yes.c,conflict,race,TP,TP,TP,5.760,LOCAL_LOAD---GET
005-MPI-conflict-get-store-local-yes.c,conflict,race,TP,TP,TP,5.310,LOCAL_STORE---GET
006-MPI-conflict-get-put-local-yes.c,conflict,race,TP,TP,TP,6.170,LOCAL_LOAD---GET
007-MPI-conflict-get-get-local-yes.c,conflict,race,TP,TP,TP,6.090,LOCAL_STORE---GET
008-MPI-conflict-acc-store-local-yes.c,conflict,race,TP,TP,TP,5.570,LOCAL_STORE---ACCUMULATE
009-MPI-conflict-acc-load-local-no.c,conflict,safe,TN,TN,TN,6.190,
016-MPI-conflict-get-load-remote-no.c,conflict,safe,TN,TN,TN,5.830,
017-MPI-conflict-get-get-remote-no.c,conflict,safe,TN,TN,TN,5.970,
018-MPI-conflict-get-store-remote-yes.c,conflict,race,TP,TP,TP,5.200,GET---RMA_STORE
019-MPI-conflict-get-put-remote-yes.c,conflict,race,TP,TP,TP,5.790,GET---PUT
021-MPI-conflict-get-acc-remote-yes.c,conflict,race,TP,FN,TP,5.410,GET---ACCUMULATE
022-MPI-conflict-put-load-remote-yes.c,conflict,race,TP,TP,TP,5.950,PUT---RMA_LOAD
023-MPI-conflict-put-store-remote-yes.c,conflict,race,TP,TP,TP,6.050,PUT---RMA_STORE
024-MPI-conflict-put-put-remote-yes.c,conflict,race,TP,TP,TP,5.480,PUT---PUT
026-MPI-conflict-put-acc-remote-yes.c,conflict,race,TP,FN,TP,5.470,PUT---ACCUMULATE
027-MPI-conflict-acc-load-remote-yes.c,conflict,race,TP,FN,TP,5.420,ACCUMULATE---RMA_LOAD
028-MPI-conflict-acc-store-remote-yes.c,conflict,race,TP,FN,TP,5.150,ACCUMULATE---RMA_STORE
029-MPI-conflict-acc-acc-remote-no.c,conflict,safe,TN,TN,TN,6.790,
001-MPI-misc-put-load-deep-nesting-local-no.c,misc,safe,TN,TN,TN,5.850,
002-MPI-misc-get-load-deep-nesting-local-yes.c,misc,race,TP,TP,TP,6.400,LOCAL_LOAD---GET
003-MPI-misc-put-load-aliasing-local-no.c,misc,safe,TN,TN,TN,6.720,
004-MPI-misc-get-load-aliasing-local-yes.c,misc,race,TP,TP,TP,6.140,LOCAL_LOAD---GET
005-MPI-misc-put-load-retval-local-no.c,misc,safe,TN,TN,TN,6.470,
006-MPI-misc-get-load-retval-local-yes.c,misc,race,TP,TP,TP,6.270,LOCAL_LOAD---GET
007-MPI-misc-put-load-memcpy-local-no.c,misc,safe,TN,TN,TN,6.700,
008-MPI-misc-get-load-memcpy-local-yes.c,misc,race,TP,TP,TP,6.160,LOCAL_LOAD---GET
009-MPI-misc-get-load-deep-nesting-remote-no.c,misc,safe,TN,TN,TN,6.580,
010-MPI-misc-get-store-deep-nesting-remote-yes.c,misc,race,TP,TP,TP,5.810,GET---RMA_STORE
011-MPI-misc-get-load-funcpointer-remote-no.c,misc,safe,TN,TN,TN,6.420,
012-MPI-misc-get-store-funcpointer-remote-yes.c,misc,race,TP,TP,TP,6.220,GET---RMA_STORE
013-MPI-misc-get-load-aliasing-remote-no.c,misc,safe,TN,TN,TN,6.390,
014-MPI-misc-get-store-aliasing-remote-yes.c,misc,race,TP,TP,TP,6.340,GET---RMA_STORE
015-MPI-misc-get-load-retval-remote-no.c,misc,safe,TN,TN,TN,5.880,
016-MPI-misc-get-store-retval-remote-yes.c,misc,race,TP,TP,TP,6.140,GET---RMA_STORE
017-MPI-misc-get-load-memcpy-remote-no.c,misc,safe,TN,TN,TN,5.520,
018-MPI-misc-get-store-memcpy-remote-yes.c,misc,race,TP,TP,TP,6.170,GET---RMA_STORE
001-MPI-sync-fence-local-yes.c,sync,race,TP,TP,TP,6.070,LOCAL_STORE---PUT
002-MPI-sync-fence-local-no.c,sync,safe,TN,TN,TN,6.580,
003-MPI-sync-lock-local-yes.c,sync,race,TP,TP,TP,5.740,LOCAL_LOAD---GET
004-MPI-sync-lock-local-no.c,sync,safe,TN,TN,TN,6.270,
005-MPI-sync-lock-flush-local-yes.c,sync,race,TP,TP,TP,5.430,LOCAL_LOAD---GET
006-MPI-sync-lock-flush-local-no.c,sync,safe,TN,TN,TN,6.430,
007-MPI-sync-lockall-flushlocalall-local-yes.c,sync,race,TP,TP,TP,5.900,LOCAL_LOAD---GET
008-MPI-sync-lockall-flushlocalall-local-no.c,sync,safe,TN,TN,TN,6.320,
013-MPI-sync-lockall-flushall-remote-no.c,sync,safe,TN,TN,TN,6.190,
014-MPI-sync-lockall-flushall-remote-yes.c,sync,race,TP,TP,TP,5.870,RMA_LOAD---PUT
015-MPI-sync-lockall-barrier-remote-no.c,sync,safe,TN,TN,TN,6.130,
016-MPI-sync-lockall-barrier-remote-yes.c,sync,race,TP,TP,TP,5.950,RMA_LOAD---PUT
